carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MVNO,KT,더원모바일,35533,35533,official_code,TOP 5G 200GB 기본 (올리브영),,moyo,True,,,5G,200.0,,200.0,False,10Mbps,,50.0,,50.0,quota,True,,300,True,,55000,29700,모요 프로모션 할인,7,3,0,,,,솔로결합(+20GB),"3대 마트 상품권, 네이버페이 2만원 | 올리브영 매월 5,000원 제공",448,https://www.moyoplan.com/plans/35533,2026-08-11T01:43:06.687727+00:00
MVNO,KT,티플러스,23780,23780,official_code,티플 10GB(10GB/300분),,moyo,True,,,LTE,10.0,,10.0,False,,,,,,unsupported,False,300,,False,100,8990,8990,,,4,0,,,,,3대마트 상품권/네이버페이 1만원 증정 | 마트 상품권/네이버페이 1만원 증정,71,https://www.moyoplan.com/plans/23780,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,25264,25264,official_code,스위트 11GB+(지니뮤직),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,11.0,,11.0,False,3Mbps,2.0,11.0,,11.0,quota,True,,300,True,,44000,38500,모요 프로모션 할인,36,0,0,,,,,,11,https://www.moyoplan.com/plans/25264,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,25276,25276,official_code,스위트 11GB+(왓챠),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,11.0,,11.0,False,3Mbps,2.0,11.0,,11.0,quota,True,,300,True,,44000,38500,모요 프로모션 할인,36,0,0,,,,,,10,https://www.moyoplan.com/plans/25276,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,25287,25287,official_code,스위트 11GB+(멜론),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,11.0,,11.0,False,3Mbps,2.0,11.0,,11.0,quota,True,,300,True,,44000,38500,모요 프로모션 할인,36,0,0,,,,,,10,https://www.moyoplan.com/plans/25287,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,이야기모바일,15071,15071,official_code,이야기 라이트 100분5GB+,,moyo,True,,,LTE,5.0,,5.0,False,1Mbps,,,,,unsupported,False,100,,False,100,11000,8800,모요 프로모션 할인,24,2,0,,,,,"네이버페이 3만원 | 네이버페이 5,000원",44,https://www.moyoplan.com/plans/15071,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,25318,25318,official_code,스위트 11GB+(네이버페이),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,11.0,,11.0,False,3Mbps,2.0,11.0,,11.0,quota,True,,300,True,,44000,38500,모요 프로모션 할인,36,0,0,,,,,,20,https://www.moyoplan.com/plans/25318,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,에이모바일,37228,37228,official_code,A 스마트 20GB,,moyo,True,,,LTE,20.0,,20.0,False,,,,,,undisclosed,True,,,True,,25520,2200,모요 프로모션 할인,7,1,1,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,4710,https://www.moyoplan.com/plans/37228,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,찬스모바일,26864,26864,official_code,음성 300분 15GB+3Mbps,,moyo,True,,,LTE,15.0,,15.0,False,3Mbps,,15.0,,15.0,quota,False,300,0,False,300,33000,16800,모요 프로모션 할인,7,1,0,,,,,유심/배송비 무료,46,https://www.moyoplan.com/plans/26864,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,시월모바일,27749,27749,official_code,시월 무제한 10GB+1Mbps,,moyo,True,,,LTE,,,,True,1Mbps,,,,,undisclosed,True,,,True,,22140,7840,모요 프로모션 할인,7,1,0,,,,,유심/배송비 무료!,129,https://www.moyoplan.com/plans/27749,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,아이즈모바일,35417,35417,official_code,[S]울트라(300분/15GB),,moyo,True,,,LTE,15.0,,15.0,False,,,15.0,,15.0,quota,False,300,,False,100,25300,3300,모요 프로모션 할인,7,0,0,,,,,,1231,https://www.moyoplan.com/plans/35417,2026-08-11T01:43:06.687727+00:00
MVNO,KT,KT스카이라이프,16268,16268,official_code,5G 모두 충분 90GB+,,moyo,True,,,5G,90.0,,90.0,False,1Mbps,,,,,undisclosed,True,,,True,,40300,40300,,,2,0,,,,,"S-머니6만원(1만원X6개월) | 3대마트상품권, 네이버페이 2만원",38,https://www.moyoplan.com/plans/16268,2026-08-11T01:43:06.687727+00:00
MVNO,KT,에이모바일,37172,37172,official_code,A 올라잇 11GB+ 네이버페이,,moyo,True,,,LTE,11.0,,11.0,False,3Mbps,2.0,,,,undisclosed,True,,,True,,42900,9900,모요 프로모션 할인,7,1,1,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,780,https://www.moyoplan.com/plans/37172,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,스마텔,30991,30991,official_code,우주LTE데이터(15GB+),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,15.0,,15.0,False,3Mbps,,15.0,,15.0,quota,False,100,,False,100,27000,27000,,,0,0,,,,,,13,https://www.moyoplan.com/plans/30991,2026-08-11T01:43:06.687727+00:00
MVNO,KT,KT스카이라이프,18597,18597,official_code,5G 모두 충분 90GB+(밀리의서재),,moyo,True,,,5G,90.0,,90.0,False,1Mbps,,,,,within_data,True,,300,True,,40300,40300,,,3,1,밀리의서재,,,,"S-머니6만원(1만원X6개월) | 3대마트상품권, 네이버페이 2만원",31,https://www.moyoplan.com/plans/18597,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,25357,25357,official_code,스위트 7GB+(밀리의서재) (+10GB 24개월간 추가 제공),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,7.0,,7.0,False,1Mbps,,7.0,,7.0,quota,True,,300,True,,25300,13000,모요 프로모션 할인,12,0,0,,,,,,126,https://www.moyoplan.com/plans/25357,2026-08-11T01:43:06.687727+00:00
MVNO,KT,모빙,37294,37294,official_code,[K] 5G 200분15GB,,moyo,True,,,5G,15.0,,15.0,False,,,,,,unsupported,False,200,,False,100,34100,110,모요 프로모션 할인,7,0,0,,,,,,708,https://www.moyoplan.com/plans/37294,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,핀다이렉트,36981,36981,official_code,[L] 핀다이렉트Z Speed 95GB+,,moyo,True,,,5G,95.0,,95.0,False,3Mbps,,,,,unsupported,True,,300,True,,45100,22000,모요 프로모션 할인,7,0,0,,,,,,92,https://www.moyoplan.com/plans/36981,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,모빙,37384,37384,official_code,[L] 5G 데이터 125GB+,,moyo,True,,,5G,125.0,,125.0,False,5Mbps,,,,,unsupported,True,,,True,,53900,17000,모요 프로모션 할인,7,0,0,,,,,,842,https://www.moyoplan.com/plans/37384,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,아이즈모바일,34850,34850,official_code,[L]벤티(100분/10GB),,moyo,True,,,LTE,10.0,,10.0,False,,,,,,undisclosed,False,100,,False,100,18200,10,모요 프로모션 할인,7,0,0,,,,,,63,https://www.moyoplan.com/plans/34850,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,에이모바일,37222,37222,official_code,A 5G 스페셜 슈퍼,,moyo,True,,,5G,95.0,,95.0,False,3Mbps,,,,,undisclosed,True,,,True,,48420,9900,모요 프로모션 할인,7,1,1,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,10988,https://www.moyoplan.com/plans/37222,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,25245,25245,official_code,스위트2 15GB+(네이버페이),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,15.0,,15.0,False,3Mbps,,15.0,,15.0,quota,False,300,,False,300,38500,31900,모요 프로모션 할인,36,0,0,,,,,,10,https://www.moyoplan.com/plans/25245,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,아이즈모바일,35470,35470,official_code,[S]이디야 화이트 20GB,,moyo,True,,,LTE,20.0,,20.0,False,,,10.0,,10.0,quota,False,200,,False,100,16400,16400,,,1,0,,,,,"매월 이디야 6,000원 모바일 카드 지급",58,https://www.moyoplan.com/plans/35470,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,모빙,37352,37352,official_code,[L] 5G 100분10GB,,moyo,True,,,5G,10.0,,10.0,False,,,,,,unsupported,False,100,,False,100,22000,10,모요 프로모션 할인,7,0,0,,,,,,1060,https://www.moyoplan.com/plans/37352,2026-08-11T01:43:06.687727+00:00
